workers,seed,cand_is_p0,cand_score,v025_score,won,delta,idle_pct
7,101,False,32583.0,51892.0,0,-19309.0,2.3197492163009406
7,202,True,32382.0,40056.0,0,-7674.0,2.19435736677116
7,202,False,63964.0,77551.0,0,-13587.0,2.152560083594566
7,303,True,33411.0,46886.0,0,-13475.0,2.340647857889237
7,303,False,33998.0,47490.0,0,-13492.0,2.2361546499477534
7,404,True,33784.0,48429.0,0,-14645.0,2.25705329153605
7,404,False,24625.0,31054.0,0,-6429.0,2.2361546499477534
7,505,True,46529.0,62150.0,0,-15621.0,2.173458725182863
7,505,False,37839.0,51099.0,0,-13260.0,2.173458725182863
7,606,True,58293.0,73697.0,0,-15404.0,2.277951933124347
7,606,False,50303.0,68294.0,0,-17991.0,2.3197492163009406
7,707,True,27429.0,42058.0,0,-14629.0,2.340647857889237
7,707,False,32666.0,38531.0,0,-5865.0,2.6541274817136884
7,808,True,58036.0,71605.0,0,-13569.0,2.277951933124347
7,808,False,44167.0,58481.0,0,-14314.0,2.277951933124347
7,909,True,29452.0,38622.0,0,-9170.0,2.277951933124347
7,909,False,35105.0,45266.0,0,-10161.0,2.340647857889237
8,42,True,53335.0,60961.0,0,-7626.0,2.567466266866567
8,42,False,28536.0,24399.0,1,4137.0,2.548725637181409
8,101,True,36311.0,52345.0,0,-16034.0,2.5112443778110944
8,101,False,36700.0,52989.0,0,-16289.0,2.39880059970015
8,202,True,70141.0,80394.0,0,-10253.0,2.5112443778110944
8,202,False,53942.0,59818.0,0,-5876.0,2.567466266866567
8,303,True,38132.0,44484.0,0,-6352.0,2.586206896551724
8,303,False,39423.0,49579.0,0,-10156.0,2.5299850074962515
8,404,True,27762.0,31711.0,0,-3949.0,2.5112443778110944
8,404,False,22806.0,26640.0,0,-3834.0,2.6986506746626686
8,505,True,37216.0,49060.0,0,-11844.0,1.911544227886057
8,505,False,37860.0,47860.0,0,-10000.0,1.911544227886057
8,606,True,31267.0,33532.0,0,-2265.0,2.6049475262368817
8,606,False,32422.0,38510.0,0,-6088.0,2.548725637181409
8,707,True,39788.0,41056.0,0,-1268.0,2.9047976011994003
8,707,False,41387.0,42309.0,0,-922.0,2.7736131934032984
8,808,True,27262.0,34818.0,0,-7556.0,2.586206896551724
8,808,False,27439.0,32389.0,0,-4950.0,2.586206896551724
8,909,True,38139.0,42003.0,0,-3864.0,2.567466266866567
8,909,False,33591.0,43454.0,0,-9863.0,2.679910044977511
9,42,True,77407.0,78413.0,0,-1006.0,3.086630286493861
9,42,False,32978.0,25414.0,1,7564.0,2.9672578444747613
9,101,True,35837.0,47356.0,0,-11519.0,2.592087312414734
9,101,False,39418.0,43589.0,0,-4171.0,2.6091405184174623
9,202,True,67757.0,71238.0,0,-3481.0,2.762619372442019
9,202,False,45213.0,39043.0,1,6170.0,3.2060027285129604
9,303,True,41200.0,32488.0,1,8712.0,2.8478854024556615
9,303,False,43147.0,39874.0,1,3273.0,3.0354706684856754
9,404,True,34655.0,41608.0,0,-6953.0,2.694406548431105
9,404,False,36318.0,40287.0,0,-3969.0,2.779672578444748
9,505,True,46687.0,46877.0,0,-190.0,2.3192360163710775
9,505,False,46608.0,45353.0,1,1255.0,2.1657571623465213
9,606,True,44467.0,34359.0,1,10108.0,2.830832196452933
9,606,False,42631.0,49367.0,0,-6736.0,2.9160982264665756
9,707,True,28541.0,25493.0,1,3048.0,2.7455661664392905
9,707,False,31175.0,21118.0,1,10057.0,3.4959072305593453
9,808,True,33262.0,29418.0,1,3844.0,2.728512960436562
9,808,False,46431.0,48271.0,0,-1840.0,2.728512960436562
9,909,True,40349.0,30675.0,1,9674.0,3.069577080491132
9,909,False,39385.0,41549.0,0,-2164.0,2.8137789904502046
10,42,True,70248.0,61493.0,1,8755.0,3.7211493170042393
10,42,False,35672.0,21224.0,1,14448.0,3.9880672005024334
10,101,True,76734.0,83775.0,0,-7041.0,3.422829329565081
10,101,False,46034.0,51304.0,0,-5270.0,3.281519861830743
10,202,True,59367.0,56324.0,1,3043.0,3.7996545768566494
10,202,False,52159.0,49584.0,1,2575.0,2.95179777045062
10,303,True,57849.0,47720.0,1,10129.0,4.27068613597111
10,303,False,62462.0,62201.0,1,261.0,4.019469304443398
10,404,True,30093.0,34940.0,0,-4847.0,2.3708588475427854
10,404,False,43516.0,41890.0,1,1626.0,3.611241953210865
10,505,True,34593.0,31966.0,1,2627.0,2.4650651593656776
10,505,False,37056.0,35276.0,1,1780.0,2.63777673104098
10,606,True,43269.0,35765.0,1,7504.0,3.6583451091223114
10,606,False,42803.0,38671.0,1,4132.0,3.375726173653635
10,707,True,47426.0,50242.0,0,-2816.0,2.700580938922908
10,707,False,45607.0,34422.0,1,11185.0,2.653477783011462
10,808,True,41780.0,36304.0,1,5476.0,3.360025121683153
10,808,False,40305.0,32349.0,1,7956.0,3.2501177578897784
10,909,True,58156.0,57013.0,1,1143.0,3.7054482650337577
10,909,False,47259.0,44209.0,1,3050.0,3.9723661485319512
12,42,True,72870.0,65175.0,1,7695.0,5.309863252836776
12,42,False,45806.0,33016.0,1,12790.0,5.178935117835322
12,101,True,52570.0,58183.0,0,-5613.0,3.8405586267093392
12,101,False,50582.0,53228.0,0,-2646.0,4.029677043933663
12,202,True,64121.0,60546.0,1,3575.0,4.684317718940937
12,202,False,50379.0,37596.0,1,12783.0,4.640675007273785
12,303,True,68033.0,50051.0,1,17982.0,4.887983706720977
12,303,False,66259.0,60114.0,1,6145.0,4.844340995053826
12,404,True,34569.0,37700.0,0,-3131.0,3.738725632819319
12,404,False,44380.0,37867.0,1,6513.0,3.5641547861507124
12,505,True,47449.0,42044.0,1,5405.0,3.8987489089322085
12,505,False,41944.0,40244.0,1,1700.0,4.20424789060227
12,606,True,58760.0,49210.0,1,9550.0,4.0733197556008145
12,606,False,42004.0,29913.0,1,12091.0,5.077102123945301
12,707,True,45877.0,39598.0,1,6279.0,3.884201338376491
12,707,False,48283.0,35719.0,1,12564.0,3.855106197265057
12,808,True,47552.0,32027.0,1,15525.0,4.931626418388129
12,808,False,59790.0,46212.0,1,13578.0,5.280768111725342
12,909,True,67817.0,58889.0,1,8928.0,4.87343613616526
12,909,False,71425.0,59988.0,1,11437.0,4.8152458539423915
